Year,Geopolitical_Zone,State_Example,Unemployment_Rate_Pct,Underemployment_Rate_Pct,Youth_Unemployment_15_24_Pct,Youth_Unemployment_25_34_Pct,Labor_Force_Participation_Rate_Pct,NEET_Rate_Pct,Informal_Employment_Rate_Pct,Working_Poverty_Rate_Pct,Gender,Urban_Rural,Educational_Attainment,Sector_Employment_Pct,Average_Hours_Worked_Weekly,Time_Related_Underemployment_Pct,Methodology,Key_Context
2015,South West,Lagos,8.8,21.2,11.8,7.8,61.0,17.8,63.8,28.8,Female,Urban,Secondary,21.8,41.0,14.8,Old,Women informal sector absorption
2016,North Central,Abuja FCT,10.5,23.8,14.8,9.8,60.2,19.8,67.5,32.5,Male,Urban,Post-Secondary,17.0,40.0,15.2,Old,Full recession year; budget cuts
2016,North Central,Abuja FCT,12.0,26.2,16.5,11.2,55.8,23.5,70.8,37.2,Female,Urban,Secondary,13.8,36.0,17.8,Old,Women disproportionately retrenched
2016,North East,Borno,12.8,27.2,17.8,11.8,54.8,26.5,73.5,43.2,Male,Urban,Secondary,13.5,38.0,18.5,Old,Conflict displacement peak year
2016,North East,Borno,15.2,30.8,20.5,13.8,48.5,31.2,78.2,48.5,Female,Rural,No Formal,2.2,24.0,26.5,Old,Women IDPs extreme vulnerability
2016,North West,Kano,9.5,22.4,12.8,8.8,62.0,18.2,65.8,29.5,Male,Urban,Secondary,20.8,43.0,14.2,Old,Recession manufacturing decline
2016,North West,Kano,10.8,25.0,14.8,10.2,55.5,22.2,71.2,34.8,Female,Urban,No Formal,7.2,33.0,18.5,Old,Female employment vulnerability
2016,South East,Abia,12.5,25.1,16.8,11.5,58.0,21.5,74.8,35.2,Male,Urban,Tertiary,23.8,42.0,18.0,Old,Manufacturing recession hit hard
2016,South East,Abia,14.5,28.0,19.2,13.2,53.2,24.8,78.2,40.8,Female,Urban,Secondary,14.5,36.0,21.2,Old,SME closures female-led businesses
2016,South South,Port Harcourt,11.8,24.5,15.5,10.8,60.5,20.5,65.8,32.8,Male,Urban,Tertiary,26.5,43.0,16.8,Old,Militancy Niger Delta oil disruption
2016,South South,Port Harcourt,13.2,27.0,17.5,12.2,55.5,23.8,69.2,37.5,Female,Urban,Secondary,16.8,38.0,19.5,Old,Oil servicing companies collapse
2016,South West,Lagos,9.2,21.3,12.0,8.2,64.2,16.5,60.8,26.5,Male,Urban,Tertiary,30.5,46.0,13.5,Old,Lagos recession resilience lowest impact
2016,South West,Lagos,10.5,23.5,13.8,9.5,59.8,19.5,65.2,31.2,Female,Urban,Secondary,20.8,40.0,16.2,Old,Women informal trade absorption
2017,North Central,Abuja FCT,13.2,25.8,17.5,12.2,59.5,21.5,68.2,34.5,Male,Urban,Post-Secondary,16.5,39.0,16.5,Old,Slow recovery beginning; policy uncertainty
2017,North Central,Abuja FCT,14.8,28.5,19.5,13.8,54.8,25.2,71.8,39.5,Female,Urban,Secondary,13.2,35.0,19.2,Old,Recovery excluding women
2017,North East,Borno,15.4,29.5,20.5,14.2,53.2,28.5,74.5,45.0,Male,Urban,Secondary,12.8,37.0,20.0,Old,Continued humanitarian crisis
2017,North East,Borno,18.2,33.5,23.8,16.5,46.8,33.5,79.5,50.5,Female,Rural,No Formal,1.8,22.0,28.5,Old,Women marginalization in recovery
2017,North West,Kano,11.8,24.3,15.2,10.8,60.8,19.8,66.8,31.5,Male,Urban,Secondary,20.2,42.0,15.5,Old,Slow manufacturing recovery
2017,North West,Kano,13.2,27.0,17.2,12.2,54.2,23.8,72.5,37.2,Female,Urban,No Formal,6.8,32.0,19.8,Old,Female employment stagnant
2017,South East,Abia,14.9,27.2,19.2,13.8,57.2,23.5,75.5,37.5,Male,Urban,Tertiary,23.2,41.0,19.2,Old,Educated unemployment crisis peak
2017,South East,Abia,17.2,30.5,22.0,15.8,52.2,27.2,79.2,43.2,Female,Urban,Secondary,13.8,35.0,22.5,Old,Graduate female unemployment severe
2017,South South,Port Harcourt,14.2,26.5,18.0,13.0,59.5,22.5,66.8,35.0,Male,Urban,Tertiary,25.8,42.0,18.0,Old,Oil production recovery slow
2017,South South,Port Harcourt,15.8,29.2,20.2,14.5,54.5,25.8,70.5,40.2,Female,Urban,Secondary,16.2,37.0,21.0,Old,Niger Delta women excluded recovery
2017,South West,Lagos,11.1,23.1,13.8,10.2,63.5,18.2,61.8,28.5,Male,Urban,Tertiary,29.8,45.0,14.8,Old,Lagos recovery leading; tech sector emerging
2017,South West,Lagos,12.5,25.8,15.8,11.5,58.8,21.5,66.5,33.5,Female,Urban,Secondary,20.2,39.0,17.5,Old,Women tech entrepreneurship growth
2018,North Central,Abuja FCT,15.8,27.5,20.2,14.5,58.5,23.5,69.2,36.5,Male,Urban,Post-Secondary,15.8,38.0,18.0,Old,Pre-election year spending increase
2018,North Central,Abuja FCT,17.5,30.2,22.5,16.2,53.8,27.2,72.8,41.5,Female,Urban,Secondary,12.5,34.0,20.8,Old,Election cycle temporary jobs men
2018,North East,Borno,18.2,31.8,23.5,16.8,52.0,30.5,75.5,46.5,Male,Urban,Secondary,12.0,36.0,21.5,Old,Insurgency worst affected zone
2018,North East,Borno,21.5,36.2,27.2,19.8,45.5,35.8,80.5,52.5,Female,Rural,No Formal,1.5,20.0,30.5,Old,Women extreme exclusion employment
2018,North West,Kano,14.1,26.2,17.5,12.8,59.8,21.5,67.8,33.5,Male,Urban,Secondary,19.5,41.0,17.0,Old,Banditry emergence affecting trade
2018,North West,Kano,15.8,29.0,19.8,14.5,53.2,25.5,73.5,39.5,Female,Urban,No Formal,6.2,31.0,21.2,Old,Security concerns limit mobility
2018,South East,Abia,17.5,29.1,22.0,16.2,56.2,25.5,76.5,39.5,Male,Urban,Tertiary,22.5,40.0,20.5,Old,Persistent structural unemployment
2018,South East,Abia,20.2,32.8,25.2,18.5,51.2,29.5,80.2,45.5,Female,Urban,Secondary,13.2,34.0,24.0,Old,Gender gap widening South East
2018,South South,Port Harcourt,16.8,28.3,20.5,15.2,58.5,24.5,67.8,37.0,Male,Urban,Tertiary,25.2,41.0,19.5,Old,Oil sector stagnation continued
2018,South South,Port Harcourt,18.5,31.2,22.8,16.8,53.5,27.8,71.5,42.5,Female,Urban,Secondary,15.8,36.0,22.5,Old,Female oil sector exclusion
2018,South West,Lagos,13.5,24.8,16.2,12.2,62.8,19.8,62.8,30.5,Male,Urban,Tertiary,29.2,44.0,16.0,Old,Tech sector emerging Yaba ecosystem
2018,South West,Lagos,15.2,27.5,18.5,13.8,57.8,23.2,67.5,35.5,Female,Urban,Secondary,19.8,38.0,19.0,Old,Women tech inclusion programs start
2019,North Central,Abuja FCT,18.5,29.2,23.0,16.8,57.5,25.5,70.2,38.5,Male,Urban,Post-Secondary,15.2,37.0,19.5,Old,Election year; political appointments
2019,North Central,Abuja FCT,20.5,32.0,25.5,18.8,52.5,29.2,73.8,43.5,Female,Urban,Secondary,12.0,33.0,22.5,Old,Temporary election jobs ended
2019,North East,Borno,21.2,33.5,26.5,19.5,50.8,32.5,76.5,48.0,Male,Urban,Secondary,11.5,35.0,23.0,Old,Election violence displacement
2019,North East,Borno,24.8,38.5,30.5,22.8,44.2,38.0,81.5,54.5,Female,Rural,No Formal,1.2,18.0,32.5,Old,Women IDPs no election participation
2019,North West,Kano,16.8,27.8,20.2,15.2,58.8,23.2,68.8,35.5,Male,Urban,Secondary,19.0,40.0,18.5,Old,Banditry escalating trade disruption
2019,North West,Kano,18.5,30.8,22.5,16.8,52.2,27.5,74.5,41.5,Female,Urban,No Formal,5.8,30.0,23.0,Old,Security restricting female mobility
2019,South East,Abia,20.1,30.5,24.8,18.5,55.2,27.5,77.5,41.5,Male,Urban,Tertiary,22.0,39.0,22.0,Old,Inequality widening pre-election
2019,South East,Abia,23.2,34.5,28.5,21.2,50.2,31.8,81.2,47.8,Female,Urban,Secondary,12.8,33.0,25.5,Old,Women political exclusion economic
2019,South South,Port Harcourt,19.5,29.8,23.2,17.8,57.5,26.5,68.8,39.0,Male,Urban,Tertiary,24.8,40.0,21.0,Old,Oil price volatility election year
2019,South South,Port Harcourt,21.5,32.8,25.8,19.8,52.5,29.8,72.5,44.5,Female,Urban,Secondary,15.2,35.0,24.0,Old,Female oil sector exclusion persists
2019,South West,Lagos,15.8,26.2,18.5,14.2,62.0,21.5,63.8,32.5,Male,Urban,Tertiary,28.5,43.0,17.5,Old,Minimum wage debate; tech growth
2019,South West,Lagos,17.8,29.0,21.2,16.2,56.8,25.0,68.5,37.8,Female,Urban,Secondary,19.2,37.0,20.5,Old,Lagos women gig economy growth
2020,North Central,Abuja FCT,28.5,25.1,32.5,26.5,55.0,30.5,72.5,42.5,Male,Urban,Post-Secondary,13.5,35.0,21.5,Old,COVID-19 pandemic peak lockdown
2020,North Central,Abuja FCT,31.5,28.2,36.0,29.5,50.5,34.5,75.8,47.5,Female,Urban,Secondary,10.5,31.0,24.5,Old,Women service sector jobs losses
2020,North East,Borno,35.2,28.5,38.5,32.5,47.5,37.5,78.5,52.5,Male,Urban,Secondary,10.0,33.0,24.0,Old,Pandemic plus conflict double crisis
2020,North East,Borno,38.5,32.2,42.5,36.0,41.5,42.5,83.5,58.5,Female,Rural,No Formal,0.8,16.0,28.5,Old,Women extreme vulnerability pandemic
2020,North West,Kano,26.8,23.8,30.5,24.5,57.0,28.5,70.5,39.5,Male,Urban,Secondary,17.5,38.0,20.0,Old,Lockdown trade manufacturing halt
2020,North West,Kano,29.5,26.8,33.5,27.5,50.5,32.5,76.2,45.5,Female,Urban,No Formal,5.0,28.0,23.5,Old,Female traders lockdown losses
2020,South East,Abia,31.8,27.2,35.5,29.5,53.5,33.5,79.5,45.5,Male,Urban,Tertiary,20.5,37.0,23.0,Old,Lockdown SME manufacturing halt
2020,South East,Abia,35.5,30.8,39.5,33.0,48.5,37.8,83.2,51.5,Female,Urban,Secondary,11.5,31.0,26.5,Old,Women informal sector devastated
2020,South South,Port Harcourt,30.5,26.5,34.5,28.5,55.5,32.5,70.5,43.0,Male,Urban,Tertiary,23.5,38.0,22.5,Old,Oil price crash COVID combined
2020,South South,Port Harcourt,33.8,29.8,38.0,31.5,50.5,36.5,74.5,48.5,Female,Urban,Secondary,14.0,33.0,25.5,Old,Oil services women job losses
2020,South West,Lagos,25.2,22.8,29.5,23.5,60.0,26.5,65.5,36.5,Male,Urban,Tertiary,27.0,41.0,19.0,Old,Remote work adaptation; tech surge
2020,South West,Lagos,28.5,25.8,32.5,26.8,55.5,30.5,70.2,42.0,Female,Urban,Secondary,17.8,35.0,22.5,Old,Women remote work access limited
2021,North Central,Abuja FCT,25.8,24.2,30.0,24.0,56.0,29.0,71.5,41.0,Male,Urban,Post-Secondary,13.8,36.0,20.5,Old,Post-pandemic recovery government
2021,North Central,Abuja FCT,28.5,27.2,33.2,27.0,51.5,33.0,75.0,46.0,Female,Urban,Secondary,10.8,32.0,23.5,Old,Women slower job recovery
2021,North East,Borno,32.5,27.8,36.0,30.0,48.5,36.0,77.5,50.5,Male,Urban,Secondary,10.5,34.0,23.5,Old,Slow recovery conflict zones
2021,North East,Borno,36.0,31.2,40.0,33.5,42.5,41.0,82.5,56.5,Female,Rural,No Formal,1.0,17.0,27.5,Old,Women recovery exclusion
2021,North West,Kano,24.2,22.8,28.0,22.5,57.5,27.0,69.5,38.0,Male,Urban,Secondary,18.0,39.0,19.0,Old,Agricultural seasonality recovery
2021,North West,Kano,27.0,25.8,31.0,25.5,51.0,31.0,75.5,44.0,Female,Urban,No Formal,5.2,29.0,22.5,Old,Women traders slow recovery
2021,South East,Abia,28.8,26.2,32.5,27.0,54.0,32.0,78.5,44.0,Male,Urban,Tertiary,21.0,38.0,22.0,Old,EndSARS aftermath; SME recovery
2021,South East,Abia,32.5,29.8,36.5,30.5,49.0,36.5,82.5,50.0,Female,Urban,Secondary,11.8,32.0,25.5,Old,Women entrepreneurs recovery slow
2021,South South,Port Harcourt,27.5,25.5,31.5,25.5,56.0,31.0,69.5,41.5,Male,Urban,Tertiary,24.0,39.0,21.5,Old,Oil price recovery beginning
2021,South South,Port Harcourt,30.5,28.8,35.0,28.5,51.0,35.0,73.5,47.0,Female,Urban,Secondary,14.5,34.0,24.5,Old,Women slow oil sector recovery
2021,South West,Lagos,22.1,21.8,26.5,20.5,61.0,25.0,64.5,35.0,Male,Urban,Tertiary,27.5,42.0,18.0,Old,Tech sector growth; remote work
2021,South West,Lagos,25.0,24.8,29.5,23.5,56.5,29.0,69.5,40.5,Female,Urban,Secondary,18.2,36.0,21.5,Old,Lagos women tech inclusion growing
2022,North Central,Abuja FCT,12.8,14.5,16.5,11.8,58.5,18.5,68.5,35.5,Male,Urban,Post-Secondary,18.5,38.0,12.5,New,Methodology change ILO standards 1hr/week
2022,North Central,Abuja FCT,14.5,16.8,18.8,13.5,53.5,21.5,71.5,40.5,Female,Urban,Secondary,14.8,34.0,14.8,New,New definition reduces female unemployment
2022,North East,Borno,9.2,15.8,12.5,8.5,50.5,22.5,73.5,42.5,Male,Urban,Secondary,15.0,35.0,13.5,New,Lower rates under new working threshold
2022,North East,Borno,11.5,18.5,15.2,10.8,44.5,26.5,78.5,48.5,Female,Rural,No Formal,2.8,20.0,16.5,New,Women informal work now counted
2022,North West,Kano,8.5,13.2,11.8,7.8,59.5,16.5,66.5,32.5,Male,Urban,Secondary,21.5,40.0,11.0,New,Rural working-hour threshold effect
2022,North West,Kano,10.2,15.5,13.8,9.5,53.0,19.8,71.5,38.0,Female,Urban,No Formal,7.5,31.0,13.5,New,Female informal work recognition
2022,South East,Abia,15.2,16.5,19.0,14.0,56.0,21.5,75.5,38.5,Male,Urban,Tertiary,24.0,39.0,14.0,New,Highest under new methodology South East
2022,South East,Abia,18.5,19.8,22.5,17.0,50.5,25.8,79.5,44.5,Female,Urban,Secondary,14.5,33.0,17.0,New,Abia structural unemployment persists
2022,South South,Port Harcourt,10.8,14.2,14.5,9.8,58.0,18.5,67.5,36.0,Male,Urban,Tertiary,27.0,40.0,12.0,New,
